Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
15219,MORGANTON NC,1060,WM Supercenter,Retail,1,G120 MORGANTON HEIGHTS BLVD,MORGANTON,BURKE,NC,28655-5210,5,Open,,Y,Y,1060,No,Available,No,Available
15220,HAZELHURST GA,1061,WM Supercenter,Retail,1,136 E JARMAN ST,HAZLEHURST,JEFF DAVIS,GA,31539-6130,5,Open,,Y,Y,1061,No,,No,
15225,WEBSTER TX,1062,WM Supercenter,Retail,1,150 W EL DORADO BLVD,FRIENDSWOOD,HARRIS,TX,77546-6500,5,Open,,Y,Y,1062,No,Available,No,Available
15226,GENEVA AL,1063,Wal-Mart,Retail,1,1608 W MAGNOLIA AVE,GENEVA,GENEVA,AL,36340-1237,2,Open,,Y,Y,1063,No,,No,
15227,LENOIR NC,1064,WM Supercenter,Retail,1,935 BLOWING ROCK BLVD,LENOIR,CALDWELL,NC,28645-3785,5,Open,,Y,Y,1064,No,Available,No,Available
15232,HOPE AR,1065,WM Supercenter,Retail,1,2400 N HERVEY ST,HOPE,HEMPSTEAD,AR,71801-8418,5,Open,,Y,Y,1065,No,,No,Available
15242,PASCAGOULA MS,1066,WM Supercenter,Retail,1,4253 DENNY AVE,PASCAGOULA,JACKSON,MS,39581-5502,5,Open,,Y,Y,1066,No,Available,No,Available
15251,HALLETSVILLE TX,1067,Wal-Mart,Retail,1,1506 N TEXANA ST,HALLETTSVILLE,LAVACA,TX,77964-2036,2,Open,,Y,Y,1067,No,,No,
15252,SEBASTIAN FL,1068,WM Supercenter,Retail,1,2001 US HIGHWAY #1,SEBASTIAN,INDIAN RIVER,FL,32958-1615,5,Open,,Y,Y,1068,No,Available,No,Available
15253,NEWTON MS,1069,WM Supercenter,Retail,1,231 EASTSIDE DR,NEWTON,NEWTON,MS,39345-8035,5,Open,,Y,Y,1069,No,,No,
15254,MARTIN TN,107,WM Supercenter,Retail,1,134 COURTRIGHT RD,MARTIN,WEAKLEY,TN,38237-1606,5,Open,,Y,Y,107,No,Not Available,No,Available
15255,ELLIJAY GA,1070,WM Supercenter,Retail,1,88 HIGHLAND XING,EAST ELLIJAY,GILMER,GA,30540-6052,5,Open,,Y,Y,1070,No,,Yes,Available
15256,WOOD RIVER IL,1071,WM Supercenter,Retail,1,610 WESLEY DR,WOOD RIVER,MADISON,IL,62095-1894,5,Open,,Y,Y,1071,No,Available,No,Available
15257,TIFTON GA,1072,WM Supercenter,Retail,1,1830 US HIGHWAY 82 W,TIFTON,TIFT,GA,31793-8164,5,Open,,Y,Y,1072,No,,No,Available
15258,LAMPASSAS TX,1073,WM Supercenter,Retail,1,1710 CENTRAL TEXAS EXPY,LAMPASAS,LAMPASAS,TX,76550-3421,5,Open,,Y,Y,1073,No,,Yes,
15259,GRENADA MS,1074,WM Supercenter,Retail,1,1655 SUNSET DR,GRENADA,GRENADA,MS,38901-4061,5,Open,,Y,Y,1074,No,Available,Yes,Available
15260,CLARKSVILLE TN,1075,WM Supercenter,Retail,1,1680 FORT CAMPBELL BLVD,CLARKSVILLE,MONTGOMERY,TN,37042-3537,5,Open,,Y,Y,1075,No,Available,Yes,Available
