FIPSTEXT,y17_M003
37035,100.00
37037,95.00
37039,95.00
37041,552.00
37043,76.00
37045,113.00
37047,274.00
37049,332.00
37051,196.00
37053,504.00
37055,167.00
37057,92.00
37059,130.00
37061,296.00
37063,77.00
37065,598.00
37067,62.00
37069,201.00
37071,72.00
37073,411.00
37075,89.00
37077,224.00
37079,403.00
37081,89.00
37083,622.00
37085,165.00
37087,97.00
37089,90.00
37091,642.00
37093,284.00
37095,905.00
37097,126.00
37099,73.00
37101,172.00
37103,371.00
37105,141.00
37107,295.00
37109,88.00
37111,69.00
37113,58.00
37115,89.00
37117,425.00
37119,54.00
37121,59.00
37123,140.00
37125,122.00
37127,305.00
37129,15.00
37131,626.00
37133,154.00
37135,102.00
37137,433.00
37139,573.00
37141,192.00
37143,539.00
37145,209.00
37147,390.00
37149,104.00
37151,108.00
37153,250.00
37155,365.00
37157,148.00
37159,129.00
37161,97.00
37163,314.00
37165,508.00
37167,143.00
37169,109.00
37171,143.00
37173,102.00
37175,68.00
37177,779.00
37179,195.00
37181,278.00
37183,111.00
37185,228.00
37187,565.00
37189,95.00
37191,300.00
